session_id,timestamp,latitude,longitude,matched_waypoint_id
31651ff3-8b2e-41e3-8f23-fec3b1ef1f1c,"2026-05-27 11:04:28",37.5788,126.977,geunjeongjeon
local-1779880441975-3ox30f8x,"2026-05-27 11:14:02",37.5788,126.977,geunjeongjeon
923b5429-5ca1-418f-ba53-418a7fee56fa,"2026-05-28 01:19:38",37.5788,126.977,geunjeongjeon
923b5429-5ca1-418f-ba53-418a7fee56fa,"2026-05-28 01:24:05",37.5788,126.977,geunjeongjeon
1e00972c-8f25-4f10-839f-081818efdfe2,"2026-05-28 01:40:56",37.5788,126.977,geunjeongjeon
1e00972c-8f25-4f10-839f-081818efdfe2,"2026-05-28 01:54:47",37.5788,126.977,geunjeongjeon
1e00972c-8f25-4f10-839f-081818efdfe2,"2026-05-28 01:55:13",37.5788,126.977,geunjeongjeon
1e00972c-8f25-4f10-839f-081818efdfe2,"2026-05-28 04:55:27",37.5788,126.977,geunjeongjeon
1e00972c-8f25-4f10-839f-081818efdfe2,"2026-05-28 04:55:29",37.5788,126.977,geunjeongjeon
1e00972c-8f25-4f10-839f-081818efdfe2,"2026-05-28 04:55:41",37.5788,126.977,geunjeongjeon
bd1d0bc6-9b62-4acb-a8ce-0b4d67bc1899,"2026-05-28 10:19:04",37.5788,126.977,geunjeongjeon
